player_name,player_id,game_date,team,opponent,home_or_road,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fgm,fga,fg_pct,three_pm,three_pa,fg3_pct,ftm,fta,ft_pct,age,position,role,opponent_def_rank_vs_position,plus_minus,wl
Kevin Durant,201142,2024-04-12,PHX,SAC,ROAD,42,28,5,3,0,0,3,11,20,0.55,3,7,0.429,3,3,1.0,35,F,Starter,27,-4,W
Devin Booker,1626164,2024-04-12,PHX,SAC,ROAD,41,21,4,6,0,0,4,7,12,0.583,2,4,0.5,5,5,1.0,27,G,Starter,26,-1,W
De'Aaron Fox,1628368,2024-04-12,SAC,PHX,HOME,41,23,5,6,4,0,2,9,23,0.391,3,8,0.375,2,2,1.0,26,G,Starter,11,3,L
Davion Mitchell,1630558,2024-04-12,SAC,PHX,HOME,20,2,0,3,0,0,1,1,7,0.143,0,3,0.0,0,0,nan,25,G,Starter,11,7,L
Keegan Murray,1631099,2024-04-12,SAC,PHX,HOME,43,23,7,0,3,0,0,9,19,0.474,5,12,0.417,0,0,nan,23,F,Starter,2,-2,L
Zach Collins,1628380,2024-04-12,SAS,DEN,HOME,21,15,6,3,1,1,2,5,9,0.556,2,3,0.667,3,3,1.0,26,F-C,Starter,27,-4,W
Blake Wesley,1631104,2024-04-12,SAS,DEN,HOME,19,2,1,4,0,0,1,1,2,0.5,0,0,nan,0,0,nan,21,G,Rotation,6,-28,W
Mike Muscala,203488,2024-04-12,OKC,MIL,HOME,4,0,0,0,0,0,1,0,0,nan,0,0,nan,0,0,nan,32,F-C,Bench,18,-8,W
Gary Trent Jr.,1629018,2024-04-12,TOR,MIA,ROAD,29,7,1,1,0,0,1,3,13,0.231,1,7,0.143,0,0,nan,25,G,Starter,5,-5,L
RJ Barrett,1629628,2024-04-12,TOR,MIA,ROAD,33,35,11,3,0,0,3,13,18,0.722,1,4,0.25,8,10,0.8,23,F-G,Starter,22,-9,L
Ochai Agbaji,1630534,2024-04-12,TOR,MIA,ROAD,25,7,1,2,1,1,0,3,5,0.6,1,2,0.5,0,0,nan,23,G,Starter,5,-28,L
Luka Samanic,1629677,2024-04-12,UTA,LAC,ROAD,28,11,6,2,1,0,2,4,9,0.444,0,3,0.0,3,5,0.6,24,F,Starter,5,-2,W
GG Jackson,1641713,2024-04-12,MEM,LAL,HOME,40,31,1,1,3,0,2,12,23,0.522,7,13,0.538,0,2,0.0,19,F,Starter,15,11,L
Patrick Baldwin Jr.,1631116,2024-04-12,WAS,CHI,HOME,41,18,12,4,1,1,1,7,12,0.583,3,7,0.429,1,2,0.5,21,F,Starter,26,5,L
Taj Gibson,201959,2024-04-12,DET,DAL,ROAD,12,8,5,2,0,1,0,4,6,0.667,0,0,nan,0,0,nan,38,F,Rotation,18,8,W
Marcus Sasser,1631204,2024-04-12,DET,DAL,ROAD,32,24,3,3,1,0,2,9,20,0.45,2,9,0.222,4,4,1.0,23,G,Starter,18,20,W
Brandon Miller,1641706,2024-04-12,CHA,BOS,ROAD,14,9,2,0,0,0,1,3,8,0.375,1,4,0.25,2,2,1.0,21,F,Rotation,1,-15,L
Svi Mykhailiuk,1629004,2024-04-12,BOS,CHA,HOME,34,8,3,0,1,0,1,2,13,0.154,2,11,0.182,2,2,1.0,26,G-F,Starter,3,9,W
Jarrett Allen,1628386,2024-04-12,CLE,IND,HOME,38,29,13,3,0,0,2,13,14,0.929,0,0,nan,3,8,0.375,25,C,Starter,18,8,W
Darius Garland,1629636,2024-04-12,CLE,IND,HOME,29,16,2,4,0,0,4,6,11,0.545,4,5,0.8,0,0,nan,24,G,Starter,30,3,W
Jose Alvarado,1630631,2024-04-12,NOP,GSW,ROAD,35,4,3,2,1,0,0,1,5,0.2,1,5,0.2,1,2,0.5,26,G,Starter,25,18,W
Dyson Daniels,1630700,2024-04-12,NOP,GSW,ROAD,26,6,8,7,2,1,0,2,4,0.5,1,1,1.0,1,1,1.0,21,G,Starter,25,5,W
Jevon Carter,1628975,2024-04-12,CHI,WAS,ROAD,37,20,2,12,1,1,1,8,15,0.533,4,8,0.5,0,0,nan,28,G,Starter,21,9,W
Javonte Green,1629750,2024-04-12,CHI,WAS,ROAD,26,24,7,0,2,0,0,10,15,0.667,3,7,0.429,1,1,1.0,30,G,Starter,21,4,W
Christian Braun,1631128,2024-04-12,DEN,SAS,ROAD,23,11,3,3,0,2,1,4,7,0.571,2,4,0.5,1,2,0.5,23,G,Starter,28,9,L
Klay Thompson,202691,2024-04-12,GSW,NOP,HOME,38,19,6,1,1,2,2,6,19,0.316,3,9,0.333,4,4,1.0,34,G,Starter,4,8,L
